AwardYear,AwardCeremonyNum,Movie,AwardCategory,AwardStatus
1946,19,Vacation from Marriage,WRITING (Original Motion Picture Story),won
1946,19,Notorious,WRITING (Original Screenplay),nominated
1946,19,Road to Utopia,WRITING (Original Screenplay),nominated
1946,19,The Blue Dahlia,WRITING (Original Screenplay),nominated
1946,19,The Seventh Veil,WRITING (Original Screenplay),won
1946,19,Children of Paradise,WRITING (Original Screenplay),nominated
1946,19,Anna and the King of Siam,WRITING (Screenplay),nominated
1946,19,Brief Encounter,WRITING (Screenplay),nominated
1946,19,Open City,WRITING (Screenplay),nominated
1946,19,The Killers,WRITING (Screenplay),nominated
1946,19,The Best Years of Our Lives,WRITING (Screenplay),won
1947,20,Mourning Becomes Electra,ACTOR,nominated
1947,20,Gentleman's Agreement,ACTOR,nominated
1947,20,A Double Life,ACTOR,won
1947,20,Body and Soul,ACTOR,nominated
1947,20,Life with Father,ACTOR,nominated
1947,20,Kiss of Death,ACTOR IN A SUPPORTING ROLE,nominated
1947,20,Ride the Pink Horse,ACTOR IN A SUPPORTING ROLE,nominated
1947,20,Miracle on 34th Street,ACTOR IN A SUPPORTING ROLE,won
1947,20,Crossfire,ACTOR IN A SUPPORTING ROLE,nominated
1947,20,The Farmer's Daughter,ACTOR IN A SUPPORTING ROLE,nominated
1947,20,Smash-Up--The Story of a Woman,ACTRESS,nominated
1947,20,Mourning Becomes Electra,ACTRESS,nominated
1947,20,The Farmer's Daughter,ACTRESS,won
1947,20,Gentleman's Agreement,ACTRESS,nominated
1947,20,Possessed,ACTRESS,nominated
1947,20,Crossfire,ACTRESS IN A SUPPORTING ROLE,nominated
1947,20,The Paradine Case,ACTRESS IN A SUPPORTING ROLE,nominated
1947,20,The Egg and I,ACTRESS IN A SUPPORTING ROLE,nominated
1947,20,Gentleman's Agreement,ACTRESS IN A SUPPORTING ROLE,won
1947,20,Great Expectations,ART DIRECTION (Black-and-White),won
1947,20,The Foxes of Harrow,ART DIRECTION (Black-and-White),nominated
1947,20,Black Narcissus,ART DIRECTION (Color),won
1947,20,Life with Father,ART DIRECTION (Color),nominated
1947,20,The Ghost and Mrs. Muir,CINEMATOGRAPHY (Black-and-White),nominated
1947,20,Great Expectations,CINEMATOGRAPHY (Black-and-White),won
1947,20,Green Dolphin Street,CINEMATOGRAPHY (Black-and-White),nominated
1947,20,Mother Wore Tights,CINEMATOGRAPHY (Color),nominated
1947,20,Black Narcissus,CINEMATOGRAPHY (Color),won
1947,20,Life with Father,CINEMATOGRAPHY (Color),nominated
1947,20,The Bishop's Wife,DIRECTING,nominated
1947,20,Great Expectations,DIRECTING,nominated
1947,20,Crossfire,DIRECTING,nominated
1947,20,Gentleman's Agreement,DIRECTING,won
1947,20,A Double Life,DIRECTING,nominated
1947,20,Design for Death,DOCUMENTARY (Feature),won
1947,20,The World Is Rich,DOCUMENTARY (Feature),nominated
1947,20,Journey into Medicine,DOCUMENTARY (Feature),nominated
1947,20,School in the Mailbox,DOCUMENTARY (Short Subject),nominated
1947,20,First Steps,DOCUMENTARY (Short Subject),won
1947,20,Passport to Nowhere,DOCUMENTARY (Short Subject),nominated
1947,20,Odd Man Out,FILM EDITING,nominated
1947,20,Green Dolphin Street,FILM EDITING,nominated
1947,20,Gentleman's Agreement,FILM EDITING,nominated
1947,20,The Bishop's Wife,FILM EDITING,nominated
1947,20,Body and Soul,FILM EDITING,won
1947,20,Forever Amber,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1947,20,The Bishop's Wife,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1947,20,A Double Life,MUSIC (Music Score of a Dramatic or Comedy Picture),won
1947,20,Captain from Castile,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1947,20,Life with Father,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1947,20,Song of the South,MUSIC (Scoring of a Musical Picture),nominated
1947,20,Fiesta,MUSIC (Scoring of a Musical Picture),nominated
1947,20,My Wild Irish Rose,MUSIC (Scoring of a Musical Picture),nominated
1947,20,Mother Wore Tights,MUSIC (Scoring of a Musical Picture),won
1947,20,Road to Rio,MUSIC (Scoring of a Musical Picture),nominated
1947,20,Good News,MUSIC (Song),nominated
1947,20,Song of the South,MUSIC (Song),won
1947,20,The Perils of Pauline,MUSIC (Song),nominated
1947,20,"The Time, the Place and the Girl",MUSIC (Song),nominated
1947,20,Mother Wore Tights,MUSIC (Song),nominated
1947,20,Great Expectations,BEST MOTION PICTURE,nominated
1947,20,Miracle on 34th Street,BEST MOTION PICTURE,nominated
1947,20,Crossfire,BEST MOTION PICTURE,nominated
1947,20,Gentleman's Agreement,BEST MOTION PICTURE,won
1947,20,The Bishop's Wife,BEST MOTION PICTURE,nominated
1947,20,Chip An' Dale,SHORT SUBJECT (Cartoon),nominated
1947,20,Dr. Jekyll and Mr. Mouse,SHORT SUBJECT (Cartoon),nominated
1947,20,Pluto's Blue Note,SHORT SUBJECT (Cartoon),nominated
1947,20,Tweetie Pie,SHORT SUBJECT (Cartoon),won
1947,20,Tubby the Tuba,SHORT SUBJECT (Cartoon),nominated
1947,20,Moon Rockets,SHORT SUBJECT (One-reel),nominated
1947,20,So You Want to Be in Pictures,SHORT SUBJECT (One-reel),nominated
1947,20,Good-bye Miss Turlock,SHORT SUBJECT (One-reel),won
1947,20,"Brooklyn, U.S.A.",SHORT SUBJECT (One-reel),nominated
1947,20,Now You See It,SHORT SUBJECT (One-reel),nominated
1947,20,Champagne for Two,SHORT SUBJECT (Two-reel),nominated
1947,20,Climbing the Matterhorn,SHORT SUBJECT (Two-reel),won
1947,20,A Voice Is Born: The Story of Niklos Gafni,SHORT SUBJECT (Two-reel),nominated
1947,20,Fight of the Wild Stallions,SHORT SUBJECT (Two-reel),nominated
1947,20,Give Us the Earth,SHORT SUBJECT (Two-reel),nominated
1947,20,T-Men,SOUND RECORDING,nominated
1947,20,Green Dolphin Street,SOUND RECORDING,nominated
1947,20,The Bishop's Wife,SOUND RECORDING,won
1947,20,Smash-Up--The Story of a Woman,WRITING (Motion Picture Story),nominated
1947,20,Kiss of Death,WRITING (Motion Picture Story),nominated
1947,20,It Happened on Fifth Avenue,WRITING (Motion Picture Story),nominated
1947,20,A Cage of Nightingales,WRITING (Motion Picture Story),nominated
1947,20,Miracle on 34th Street,WRITING (Motion Picture Story),won
1947,20,Monsieur Verdoux,WRITING (Original Screenplay),nominated
1947,20,Shoe-Shine,WRITING (Original Screenplay),nominated
1947,20,A Double Life,WRITING (Original Screenplay),nominated
1947,20,Body and Soul,WRITING (Original Screenplay),nominated
1947,20,The Bachelor and the Bobby-Soxer,WRITING (Original Screenplay),won
1947,20,Boomerang!,WRITING (Screenplay),nominated
1947,20,Great Expectations,WRITING (Screenplay),nominated
1947,20,Miracle on 34th Street,WRITING (Screenplay),won
1947,20,Crossfire,WRITING (Screenplay),nominated
1947,20,Gentleman's Agreement,WRITING (Screenplay),nominated
1948,21,Johnny Belinda,ACTOR,nominated
1948,21,When My Baby Smiles at Me,ACTOR,nominated
1948,21,Sitting Pretty,ACTOR,nominated
1948,21,The Search,ACTOR,nominated
1948,21,Hamlet,ACTOR,won
1948,21,Johnny Belinda,ACTOR IN A SUPPORTING ROLE,nominated
1948,21,The Luck of the Irish,ACTOR IN A SUPPORTING ROLE,nominated
1948,21,Joan of Arc,ACTOR IN A SUPPORTING ROLE,nominated
1948,21,The Treasure of the Sierra Madre,ACTOR IN A SUPPORTING ROLE,won
1948,21,I Remember Mama,ACTOR IN A SUPPORTING ROLE,nominated
1948,21,Johnny Belinda,ACTRESS,won
1948,21,Joan of Arc,ACTRESS,nominated
1948,21,"Sorry, Wrong Number",ACTRESS,nominated
1948,21,The Snake Pit,ACTRESS,nominated
1948,21,I Remember Mama,ACTRESS,nominated
1948,21,Johnny Belinda,ACTRESS IN A SUPPORTING ROLE,nominated
1948,21,Hamlet,ACTRESS IN A SUPPORTING ROLE,nominated
1948,21,Key Largo,ACTRESS IN A SUPPORTING ROLE,won
1948,21,I Remember Mama,ACTRESS IN A SUPPORTING ROLE,nominated
1948,21,Hamlet,ART DIRECTION (Black-and-White),won
1948,21,Johnny Belinda,ART DIRECTION (Black-and-White),nominated
1948,21,The Red Shoes,ART DIRECTION (Color),won
1948,21,Joan of Arc,ART DIRECTION (Color),nominated
1948,21,Johnny Belinda,CINEMATOGRAPHY (Black-and-White),nominated
1948,21,Portrait of Jennie,CINEMATOGRAPHY (Black-and-White),nominated
1948,21,A Foreign Affair,CINEMATOGRAPHY (Black-and-White),nominated
1948,21,The Naked City,CINEMATOGRAPHY (Black-and-White),won
1948,21,I Remember Mama,CINEMATOGRAPHY (Black-and-White),nominated
1948,21,The Three Musketeers,CINEMATOGRAPHY (Color),nominated
1948,21,Joan of Arc,CINEMATOGRAPHY (Color),won
1948,21,The Loves of Carmen,CINEMATOGRAPHY (Color),nominated
1948,21,Green Grass of Wyoming,CINEMATOGRAPHY (Color),nominated
1948,21,Hamlet,COSTUME DESIGN (Black-and-White),won
1948,21,B. F.'s Daughter,COSTUME DESIGN (Black-and-White),nominated
1948,21,Joan of Arc,COSTUME DESIGN (Color),won
1948,21,The Emperor Waltz,COSTUME DESIGN (Color),nominated
1948,21,Johnny Belinda,DIRECTING,nominated
1948,21,The Treasure of the Sierra Madre,DIRECTING,won
1948,21,The Snake Pit,DIRECTING,nominated
1948,21,The Search,DIRECTING,nominated
1948,21,Hamlet,DIRECTING,nominated
1948,21,The Quiet One,DOCUMENTARY (Feature),nominated
1948,21,The Secret Land,DOCUMENTARY (Feature),won
1948,21,Heart to Heart,DOCUMENTARY (Short Subject),nominated
1948,21,Toward Independence,DOCUMENTARY (Short Subject),won
1948,21,Operation Vittles,DOCUMENTARY (Short Subject),nominated
1948,21,Johnny Belinda,FILM EDITING,nominated
1948,21,Joan of Arc,FILM EDITING,nominated
1948,21,Red River,FILM EDITING,nominated
1948,21,The Red Shoes,FILM EDITING,nominated
1948,21,The Naked City,FILM EDITING,won
1948,21,Johnny Belinda,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1948,21,Joan of Arc,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1948,21,The Red Shoes,MUSIC (Music Score of a Dramatic or Comedy Picture),won
1948,21,The Snake Pit,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1948,21,Hamlet,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1948,21,When My Baby Smiles at Me,MUSIC (Scoring of a Musical Picture),nominated
1948,21,The Emperor Waltz,MUSIC (Scoring of a Musical Picture),nominated
1948,21,Romance on the High Seas,MUSIC (Scoring of a Musical Picture),nominated
1948,21,Easter Parade,MUSIC (Scoring of a Musical Picture),won
1948,21,The Pirate,MUSIC (Scoring of a Musical Picture),nominated
1948,21,The Paleface,MUSIC (Song),won
1948,21,That Lady in Ermine,MUSIC (Song),nominated
1948,21,Romance on the High Seas,MUSIC (Song),nominated
1948,21,Casbah,MUSIC (Song),nominated
1948,21,Wet Blanket Policy,MUSIC (Song),nominated
1948,21,Johnny Belinda,BEST MOTION PICTURE,nominated
1948,21,The Red Shoes,BEST MOTION PICTURE,nominated
1948,21,The Treasure of the Sierra Madre,BEST MOTION PICTURE,nominated
1948,21,The Snake Pit,BEST MOTION PICTURE,nominated
1948,21,Hamlet,BEST MOTION PICTURE,won
1948,21,The Little Orphan,SHORT SUBJECT (Cartoon),won
1948,21,Tea for Two Hundred,SHORT SUBJECT (Cartoon),nominated
1948,21,Mickey and the Seal,SHORT SUBJECT (Cartoon),nominated
1948,21,Robin Hoodlum,SHORT SUBJECT (Cartoon),nominated
1948,21,Mouse Wreckers,SHORT SUBJECT (Cartoon),nominated
1948,21,Symphony of a City,SHORT SUBJECT (One-reel),won
1948,21,So You Want to Be on the Radio,SHORT SUBJECT (One-reel),nominated
1948,21,Cinderella Horse,SHORT SUBJECT (One-reel),nominated
1948,21,Annie Was a Wonder,SHORT SUBJECT (One-reel),nominated
1948,21,You Can't Win,SHORT SUBJECT (One-reel),nominated
1948,21,Snow Capers,SHORT SUBJECT (Two-reel),nominated
1948,21,Seal Island,SHORT SUBJECT (Two-reel),won
1948,21,Going to Blazes,SHORT SUBJECT (Two-reel),nominated
1948,21,Samba-Mania,SHORT SUBJECT (Two-reel),nominated
1948,21,Calgary Stampede,SHORT SUBJECT (Two-reel),nominated
1948,21,Johnny Belinda,SOUND RECORDING,nominated
1948,21,The Snake Pit,SOUND RECORDING,won
1948,21,Moonrise,SOUND RECORDING,nominated
1948,21,Louisiana Story,WRITING (Motion Picture Story),nominated
1948,21,Red River,WRITING (Motion Picture Story),nominated
1948,21,The Red Shoes,WRITING (Motion Picture Story),nominated
1948,21,The Naked City,WRITING (Motion Picture Story),nominated
1948,21,The Search,WRITING (Motion Picture Story),won
1948,21,Johnny Belinda,WRITING (Screenplay),nominated
1948,21,A Foreign Affair,WRITING (Screenplay),nominated
1948,21,The Treasure of the Sierra Madre,WRITING (Screenplay),won
1948,21,The Snake Pit,WRITING (Screenplay),nominated
1948,21,The Search,WRITING (Screenplay),nominated
1949,22,All the King's Men,ACTOR,won
1949,22,Twelve O'Clock High,ACTOR,nominated
1949,22,The Hasty Heart,ACTOR,nominated
1949,22,Champion,ACTOR,nominated
1949,22,Sands of Iwo Jima,ACTOR,nominated
1949,22,All the King's Men,ACTOR IN A SUPPORTING ROLE,nominated
1949,22,Twelve O'Clock High,ACTOR IN A SUPPORTING ROLE,won
1949,22,Champion,ACTOR IN A SUPPORTING ROLE,nominated
1949,22,Battleground,ACTOR IN A SUPPORTING ROLE,nominated
1949,22,The Heiress,ACTOR IN A SUPPORTING ROLE,nominated
1949,22,Come to the Stable,ACTRESS,nominated
1949,22,"Edward, My Son",ACTRESS,nominated
1949,22,Pinky,ACTRESS,nominated
1949,22,My Foolish Heart,ACTRESS,nominated
1949,22,The Heiress,ACTRESS,won
1949,22,Come to the Stable,ACTRESS IN A SUPPORTING ROLE,nominated
1949,22,Pinky,ACTRESS IN A SUPPORTING ROLE,nominated
1949,22,All the King's Men,ACTRESS IN A SUPPORTING ROLE,won
1949,22,Come to the Stable,ART DIRECTION (Black-and-White),nominated
1949,22,Madame Bovary,ART DIRECTION (Black-and-White),nominated
1949,22,The Heiress,ART DIRECTION (Black-and-White),won
1949,22,Saraband,ART DIRECTION (Color),nominated
1949,22,Little Women,ART DIRECTION (Color),won
1949,22,The Adventures of Don Juan,ART DIRECTION (Color),nominated
1949,22,Come to the Stable,CINEMATOGRAPHY (Black-and-White),nominated
1949,22,Prince of Foxes,CINEMATOGRAPHY (Black-and-White),nominated
1949,22,Champion,CINEMATOGRAPHY (Black-and-White),nominated
1949,22,Battleground,CINEMATOGRAPHY (Black-and-White),won
1949,22,The Heiress,CINEMATOGRAPHY (Black-and-White),nominated
1949,22,She Wore a Yellow Ribbon,CINEMATOGRAPHY (Color),won
1949,22,Sand,CINEMATOGRAPHY (Color),nominated
1949,22,Little Women,CINEMATOGRAPHY (Color),nominated
1949,22,Jolson Sings Again,CINEMATOGRAPHY (Color),nominated
1949,22,The Barkleys of Broadway,CINEMATOGRAPHY (Color),nominated
1949,22,The Heiress,COSTUME DESIGN (Black-and-White),won
1949,22,Prince of Foxes,COSTUME DESIGN (Black-and-White),nominated
1949,22,Mother Is a Freshman,COSTUME DESIGN (Color),nominated
1949,22,The Adventures of Don Juan,COSTUME DESIGN (Color),won
1949,22,A Letter to Three Wives,DIRECTING,won
1949,22,All the King's Men,DIRECTING,nominated
1949,22,The Fallen Idol,DIRECTING,nominated
1949,22,Battleground,DIRECTING,nominated
1949,22,The Heiress,DIRECTING,nominated
1949,22,Daybreak in Udi,DOCUMENTARY (Feature),won
1949,22,Kenji Comes Home,DOCUMENTARY (Feature),nominated
1949,22,1848,DOCUMENTARY (Short Subject),nominated
1949,22,The Rising Tide,DOCUMENTARY (Short Subject),nominated
1949,22,So Much for So Little,DOCUMENTARY (Short Subject),nominated
1949,22,A Chance to Live,DOCUMENTARY (Short Subject),won
1949,22,All the King's Men,FILM EDITING,nominated
1949,22,The Window,FILM EDITING,nominated
1949,22,Battleground,FILM EDITING,nominated
1949,22,Champion,FILM EDITING,won
1949,22,Sands of Iwo Jima,FILM EDITING,nominated
1949,22,Champion,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1949,22,The Heiress,MUSIC (Music Score of a Dramatic or Comedy Picture),won
1949,22,Beyond the Forest,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1949,22,Jolson Sings Again,MUSIC (Scoring of a Musical Picture),nominated
1949,22,Look for the Silver Lining,MUSIC (Scoring of a Musical Picture),nominated
1949,22,On the Town,MUSIC (Scoring of a Musical Picture),won
1949,22,Come to the Stable,MUSIC (Song),nominated
1949,22,So Dear to My Heart,MUSIC (Song),nominated
1949,22,It's a Great Feeling,MUSIC (Song),nominated
1949,22,Neptune's Daughter,MUSIC (Song),won
1949,22,My Foolish Heart,MUSIC (Song),nominated
1949,22,A Letter to Three Wives,BEST MOTION PICTURE,nominated
1949,22,All the King's Men,BEST MOTION PICTURE,won
1949,22,Twelve O'Clock High,BEST MOTION PICTURE,nominated
1949,22,Battleground,BEST MOTION PICTURE,nominated
1949,22,The Heiress,BEST MOTION PICTURE,nominated
1949,22,For Scent-Imental Reasons,SHORT SUBJECT (Cartoon),won
1949,22,The Magic Fluke,SHORT SUBJECT (Cartoon),nominated
1949,22,Toy Tinkers,SHORT SUBJECT (Cartoon),nominated
1949,22,Hatch Up Your Troubles,SHORT SUBJECT (Cartoon),nominated
1949,22,Canary Row,SHORT SUBJECT (Cartoon),nominated
1949,22,Roller Derby Girl,SHORT SUBJECT (One-reel),nominated
1949,22,Spills and Chills,SHORT SUBJECT (One-reel),nominated
1949,22,Aquatic House-Party,SHORT SUBJECT (One-reel),won
1949,22,Water Trix,SHORT SUBJECT (One-reel),nominated
1949,22,So You Think You're Not Guilty,SHORT SUBJECT (One-reel),nominated
1949,22,Van Gogh,SHORT SUBJECT (Two-reel),won
1949,22,The Boy and the Eagle,SHORT SUBJECT (Two-reel),nominated
1949,22,The Grass Is Always Greener,SHORT SUBJECT (Two-reel),nominated
1949,22,Snow Carnival,SHORT SUBJECT (Two-reel),nominated
1949,22,Chase of Death,SHORT SUBJECT (Two-reel),nominated
1949,22,"Once More, My Darling",SOUND RECORDING,nominated
1949,22,Sands of Iwo Jima,SOUND RECORDING,nominated
1949,22,Twelve O'Clock High,SOUND RECORDING,won
1949,22,Come to the Stable,WRITING (Motion Picture Story),nominated
1949,22,The Stratton Story,WRITING (Motion Picture Story),won
1949,22,White Heat,WRITING (Motion Picture Story),nominated
1949,22,Sands of Iwo Jima,WRITING (Motion Picture Story),nominated
1949,22,It Happens Every Spring,WRITING (Motion Picture Story),nominated
1949,22,A Letter to Three Wives,WRITING (Screenplay),won
1949,22,All the King's Men,WRITING (Screenplay),nominated
1949,22,The Bicycle Thief,WRITING (Screenplay),nominated
1949,22,The Fallen Idol,WRITING (Screenplay),nominated
1949,22,Champion,WRITING (Screenplay),nominated
1949,22,Passport to Pimlico,WRITING (Story and Screenplay),nominated
1949,22,The Quiet One,WRITING (Story and Screenplay),nominated
1949,22,Paisan,WRITING (Story and Screenplay),nominated
1949,22,Jolson Sings Again,WRITING (Story and Screenplay),nominated
1949,22,Battleground,WRITING (Story and Screenplay),won
1950,23,Harvey,ACTOR,nominated
1950,23,Cyrano de Bergerac,ACTOR,won
1950,23,The Magnificent Yankee,ACTOR,nominated
1950,23,Father of the Bride,ACTOR,nominated
1950,23,Sunset Blvd.,ACTOR,nominated
1950,23,The Asphalt Jungle,ACTOR IN A SUPPORTING ROLE,nominated
1950,23,Mister 880,ACTOR IN A SUPPORTING ROLE,nominated
1950,23,Sunset Blvd.,ACTOR IN A SUPPORTING ROLE,nominated
1950,23,Broken Arrow,ACTOR IN A SUPPORTING ROLE,nominated
1950,23,All about Eve,ACTOR IN A SUPPORTING ROLE,won
1950,23,Born Yesterday,ACTRESS,won
1950,23,Caged,ACTRESS,nominated
1950,23,Sunset Blvd.,ACTRESS,nominated
1950,23,All about Eve,ACTRESS,nominated
1950,23,Caged,ACTRESS IN A SUPPORTING ROLE,nominated
1950,23,Harvey,ACTRESS IN A SUPPORTING ROLE,won
1950,23,Sunset Blvd.,ACTRESS IN A SUPPORTING ROLE,nominated
1950,23,All about Eve,ACTRESS IN A SUPPORTING ROLE,nominated
1950,23,The Red Danube,ART DIRECTION (Black-and-White),nominated
1950,23,Sunset Blvd.,ART DIRECTION (Black-and-White),won
1950,23,All about Eve,ART DIRECTION (Black-and-White),nominated
1950,23,Destination Moon,ART DIRECTION (Color),nominated
1950,23,Annie Get Your Gun,ART DIRECTION (Color),nominated
1950,23,Samson and Delilah,ART DIRECTION (Color),won
1950,23,The Third Man,CINEMATOGRAPHY (Black-and-White),won
1950,23,The Asphalt Jungle,CINEMATOGRAPHY (Black-and-White),nominated
1950,23,The Furies,CINEMATOGRAPHY (Black-and-White),nominated
1950,23,Sunset Blvd.,CINEMATOGRAPHY (Black-and-White),nominated
1950,23,All about Eve,CINEMATOGRAPHY (Black-and-White),nominated
1950,23,Annie Get Your Gun,CINEMATOGRAPHY (Color),nominated
1950,23,The Flame and the Arrow,CINEMATOGRAPHY (Color),nominated
1950,23,Samson and Delilah,CINEMATOGRAPHY (Color),nominated
1950,23,Broken Arrow,CINEMATOGRAPHY (Color),nominated
1950,23,King Solomon's Mines,CINEMATOGRAPHY (Color),won
1950,23,The Magnificent Yankee,COSTUME DESIGN (Black-and-White),nominated
1950,23,Born Yesterday,COSTUME DESIGN (Black-and-White),nominated
1950,23,All about Eve,COSTUME DESIGN (Black-and-White),won
1950,23,The Black Rose,COSTUME DESIGN (Color),nominated
1950,23,That Forsyte Woman,COSTUME DESIGN (Color),nominated
1950,23,Samson and Delilah,COSTUME DESIGN (Color),won
1950,23,The Third Man,DIRECTING,nominated
1950,23,The Asphalt Jungle,DIRECTING,nominated
1950,23,Sunset Blvd.,DIRECTING,nominated
1950,23,Born Yesterday,DIRECTING,nominated
1950,23,All about Eve,DIRECTING,won
1950,23,With These Hands,DOCUMENTARY (Feature),nominated
1950,23,The Titan: Story of Michelangelo,DOCUMENTARY (Feature),won
1950,23,The Stairs,DOCUMENTARY (Short Subject),nominated
1950,23,The Fight: Science against Cancer,DOCUMENTARY (Short Subject),nominated
1950,23,Why Korea?,DOCUMENTARY (Short Subject),won
1950,23,Annie Get Your Gun,FILM EDITING,nominated
1950,23,The Third Man,FILM EDITING,nominated
1950,23,Sunset Blvd.,FILM EDITING,nominated
1950,23,King Solomon's Mines,FILM EDITING,won
1950,23,All about Eve,FILM EDITING,nominated
1950,23,No Sad Songs for Me,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1950,23,The Flame and the Arrow,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1950,23,Sunset Blvd.,MUSIC (Music Score of a Dramatic or Comedy Picture),won
1950,23,Samson and Delilah,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1950,23,All about Eve,MUSIC (Music Score of a Dramatic or Comedy Picture),nominated
1950,23,Three Little Words,MUSIC (Scoring of a Musical Picture),nominated
1950,23,Annie Get Your Gun,MUSIC (Scoring of a Musical Picture),won
1950,23,Cinderella,MUSIC (Scoring of a Musical Picture),nominated
1950,23,I'll Get By,MUSIC (Scoring of a Musical Picture),nominated
1950,23,The West Point Story,MUSIC (Scoring of a Musical Picture),nominated
1950,23,The Toast of New Orleans,MUSIC (Song),nominated
1950,23,Cinderella,MUSIC (Song),nominated
1950,23,Wabash Avenue,MUSIC (Song),nominated
1950,23,Singing Guns,MUSIC (Song),nominated
1950,23,"Captain Carey, U.S.A.",MUSIC (Song),won
1950,23,Father of the Bride,BEST MOTION PICTURE,nominated
1950,23,Sunset Blvd.,BEST MOTION PICTURE,nominated
1950,23,Born Yesterday,BEST MOTION PICTURE,nominated
1950,23,King Solomon's Mines,BEST MOTION PICTURE,nominated
1950,23,All about Eve,BEST MOTION PICTURE,won
1950,23,Gerald McBoing-Boing,SHORT SUBJECT (Cartoon),won
1950,23,Trouble Indemnity,SHORT SUBJECT (Cartoon),nominated
1950,23,Jerry's Cousin,SHORT SUBJECT (Cartoon),nominated
1950,23,Wrong Way Butch,SHORT SUBJECT (One-reel),nominated
1950,23,Blaze Busters,SHORT SUBJECT (One-reel),nominated
1950,23,Grandad of Races,SHORT SUBJECT (One-reel),won
1950,23,Grandma Moses,SHORT SUBJECT (Two-reel),nominated
1950,23,In Beaver Valley,SHORT SUBJECT (Two-reel),won
1950,23,My Country 'Tis of Thee,SHORT SUBJECT (Two-reel),nominated
1950,23,Our Very Own,SOUND RECORDING,nominated
1950,23,Cinderella,SOUND RECORDING,nominated
1950,23,Trio,SOUND RECORDING,nominated
1950,23,Louisa,SOUND RECORDING,nominated
1950,23,All about Eve,SOUND RECORDING,won
1950,23,The Gunfighter,WRITING (Motion Picture Story),nominated
1950,23,Mystery Street,WRITING (Motion Picture Story),nominated
1950,23,Panic in the Streets,WRITING (Motion Picture Story),won
1950,23,Bitter Rice,WRITING (Motion Picture Story),nominated
1950,23,When Willie Comes Marching Home,WRITING (Motion Picture Story),nominated
1950,23,The Asphalt Jungle,WRITING (Screenplay),nominated
1950,23,Father of the Bride,WRITING (Screenplay),nominated
1950,23,Broken Arrow,WRITING (Screenplay),nominated
1950,23,Born Yesterday,WRITING (Screenplay),nominated
1950,23,All about Eve,WRITING (Screenplay),won
1950,23,The Men,WRITING (Story and Screenplay),nominated
1950,23,Caged,WRITING (Story and Screenplay),nominated
1950,23,No Way Out,WRITING (Story and Screenplay),nominated
1950,23,Sunset Blvd.,WRITING (Story and Screenplay),won
1950,23,Adam's Rib,WRITING (Story and Screenplay),nominated
1951,24,A Place in the Sun,ACTOR,nominated
1951,24,Death of a Salesman,ACTOR,nominated
1951,24,A Streetcar Named Desire,ACTOR,nominated
1951,24,The African Queen,ACTOR,won
1951,24,Bright Victory,ACTOR,nominated
1951,24,Come Fill the Cup,ACTOR IN A SUPPORTING ROLE,nominated
1951,24,Quo Vadis,ACTOR IN A SUPPORTING ROLE,nominated
1951,24,Death of a Salesman,ACTOR IN A SUPPORTING ROLE,nominated
1951,24,A Streetcar Named Desire,ACTOR IN A SUPPORTING ROLE,won
1951,24,The Blue Veil,ACTRESS,nominated
1951,24,A Place in the Sun,ACTRESS,nominated
1951,24,A Streetcar Named Desire,ACTRESS,won
1951,24,Detective Story,ACTRESS,nominated
1951,24,The African Queen,ACTRESS,nominated
1951,24,The Blue Veil,ACTRESS IN A SUPPORTING ROLE,nominated
1951,24,The Mating Season,ACTRESS IN A SUPPORTING ROLE,nominated
1951,24,A Streetcar Named Desire,ACTRESS IN A SUPPORTING ROLE,won
1951,24,Death of a Salesman,ACTRESS IN A SUPPORTING ROLE,nominated
1951,24,Detective Story,ACTRESS IN A SUPPORTING ROLE,nominated
1951,24,Fourteen Hours,ART DIRECTION (Black-and-White),nominated
1951,24,Too Young to Kiss,ART DIRECTION (Black-and-White),nominated
1951,24,A Streetcar Named Desire,ART DIRECTION (Black-and-White),won
1951,24,House on Telegraph Hill,ART DIRECTION (Black-and-White),nominated
1951,24,La Ronde,ART DIRECTION (Black-and-White),nominated
1951,24,An American in Paris,ART DIRECTION (Color),won
1951,24,On the Riviera,ART DIRECTION (Color),nominated
1951,24,Tales of Hoffmann,ART DIRECTION (Color),nominated
1951,24,David and Bathsheba,ART DIRECTION (Color),nominated
1951,24,Quo Vadis,ART DIRECTION (Color),nominated
1951,24,The Frogmen,CINEMATOGRAPHY (Black-and-White),nominated
1951,24,A Place in the Sun,CINEMATOGRAPHY (Black-and-White),won
1951,24,Strangers on a Train,CINEMATOGRAPHY (Black-and-White),nominated
